fragment_id,response
AB01_1,Abortion is a fundamental right guarunteed by the US Constitution and held up by the Supreme Court.
AB01_1,"There's need to esteem the decision of the US Supreme Court, that claims abortion is a fundamental right guaranteed by the US Constitution."
AB01_1,"In keeping with the law, abortion is a right since the US Supreme Court stated that abortion is a fundamental right guaranteed by the US Constitution"
AB01_1,"No less of an entity than the US Supreme Court, a body who's decisions we should respect, has asserted that abortion is a fundamental right guaranteed by the US Constitution. Therefore, abortion can be considered a fundamental right guaranteed by the US Constitution."
AB01_1,"The U.S.Constitution guarantees the fundamental right to women who choose abortion as an option to terminate a pregnancy. Therefore, the U.S. Supreme Court decision stating that abortion is a fundamental right should be upheld."
AB01_1,"The US Supreme Court stated that is a person's right to abortion, according to the US Constitution."
AB01_1,"The US Supreme court believes the constitution protects abortion as a right, and so abortion is guarenteed by our constitution."
AB01_1,Abortion is a fundamental right according to the Supreme Court.
AB01_1,"Abortion is a fundamental right guaranteed by the Constitution that the Supreme Court as agreed on, and we should respect that decision."
AB01_1,We must recognize that abortions are rights and part of our freedom in the USA.
AB01_1,Abortion is a fundamental right guaranteed by the US Constitution because it was decided by the US Supreme Court.
AB01_1,We should support abortion because it is a fundamental right guaranteed by the US Constitution.
AB01_2,Abortion is a fundamental right guaranteed by the US Constitution due to the Roe v. Wade decision that guaranteed zones of privacy in the Constitution are broad enough to encompass a woman's choice to terminate her pregnancy.
AB01_2,"The decision of the US Supreme Court in Roe v. Wade stated that the Constitution gives “a guarantee of certain areas or zones of privacy,” and that “This right of privacy… is broad enough to encompass a woman’s decision whether or not to terminate her pregy. Abortion is a fundamental right. nancy"
AB01_2,Abortion is an integral right guaranteed by the US Constitution in the decision made by the US Supreme Court that stated the zones of privacy that encompasses a woman's decision whether or not to terminate her privacy.
AB01_2,"The US Constitution guarentees abortion as a fundamental right because the document gives ""a guarentee of certain areas or zones of privacy,"" and this zone encompasses bodies."
AB01_2,The Supreme Court asserted that abortions are a constitutional right because they are covered by the right to privacy.
AB01_2,Abortions are legal because it is a right of privacy for a woman to decide what she does with her body.
AB01_2,"Abortion is a fundamental right guaranteed by the US Constitution because the decision of the US Supreme Court in Roe v. Wade stated that the Constitution gives “a guarantee of certain areas or zones of privacy,” and that “This right of privacy… is broad enough to encompass a woman’s decision whether or not to terminate her pregnanc"
AB01_2,Abortion is a right assured by legislation of the United States government and the Surpreme Court of the United States
AB01_2,Abortion is a fundamental right becuase it is a right of privacy and at the discretion of the woman
AB01_2,"Abortion is a fundamental right guaranteed by the US Constitution, this was proven in the decision of the US Supreme Court in Roe v. Wade."
AB01_2,"We should accept abortion as a fundamental right guaranteed by the US Constitution by the decision of Roe v, Wade."
AB01_2,The legislature points out that abortion is a constitutional right
AB01_3,The idea that abortion is a fundamental right is wrong because the Roe v. Wade decision is wrong.
AB01_3,The idea that abortion is a fundamental right guaranteed by the US Constitution is not tolerable
AB01_3,The decision of the US Supreme Court asserting that abortion is vital right guaranteed by the US Constitution is ridiculous.
AB01_3,The decision of the US Supreme Court in Roe v. Wade is wrong for pronouncing that abortion is a fundamental right guaranteed by the US Constitution.
AB01_3,"Although the US Supreme Court decided that abortion is a fundamental right guaranteed by the US Constitution in Roe v. Wade. their decision was wrong.     Since the Supreme Court's assertion was flawed, it can not be true that abortion is an acceptable and fundamental right, guaranteed by the US Constitution."
AB01_3,The U.S. Supreme Court made an incorrect decision in Roe v. Wade when it asserted abortion is a fundamental right the U.S. Constitution guarantees.
AB01_3,The Supreme Court was wrong in saying  that the US Constitution protects that abortion is a fundamental right.
AB01_3,Abortion is not a constitutional right because the Supreme Court ruled incorrectly in Roe v Wade.
AB01_3,Abortion is not a fundamental right because Roe v. Wade was wrongfully granted.
AB01_3,"The idea that abortion is a fundamental right guaranteed by the US Constitution is unacceptable, because the decision of the US Supreme Court in Roe v. Wade is wrong."
AB01_3,Abortion is not a fundamental right guaranteed by the US Constitution because Roe v. Wade is wrong
AB01_3,We should not accept abortion because the decision of Roe v Wade that asserted that abortion is a fundamental right guaranteed by the US Constitution is wrong.
AB02_1,Abortion is impermissible because it violates the principle that we should not kill an innocent human being.
AB02_1,Abortion is killing an innocent human being.
AB02_1,Abortion is intolerable as it violates life by killing an innocent human being.
AB02_1,Abortion violates the precept that we must not kill an innocent human being.  By this standard abortion is not tolerable.
AB02_1,"Abortion kills an inncoent human being, every time, and killing people is unallowable."
AB02_1,Abortion is wrong because we should never kill an innocent human being.
AB02_1,Abortion is bad because it requires killing a human being.
AB02_1,Abortions should be illegal because they kill innocent humans.
AB02_1,We must not allow abortions because it would be killing an innocent human.
AB02_1,Abortion cannot be accepted as an innocent human being is killed.
AB02_1,Abortion kills an innocent human being and should not be used.
AB02_1,Abortion is the killing of an innocent human being.
AB02_1,"Abortion is unacceptable, because we must not kill an innocent human being."
AB02_1,We should not allow abortion because we must not kill an innocent human being.
AB02_1,Abortion is not right because it kills innocent human beings
AB02_1,We should not accept abortion because it kills an innocent human being.
AB02_2,Abortion is impermissible because it violates the notion that we should not kill an innocent human being as life begins at conception.
AB02_2,Abortion is not tolerable because it is taking an innocent life
AB02_2,Abortion is unsatisfactory as it violates the life of an innocent human being.
AB02_2,"It is not okay to kill an innocent and living human being. Life begins at conception  Therefore abortion, which kills an innocent and living human being, is not okay."
AB02_2,Abortion kills an innocent human being so it can never be right.
AB02_2,Abortion should be banned because it involves killing a human being.
AB02_2,Abortions should be illegal because they kill innocent humans.
AB02_2,"We cannot perform abortions because it violates the life being harmed, and is killing an innocent human."
AB02_2,"Life begins at conception and it is unacceptable to take another's life, making abortion unacceptable."
AB02_2,Abortion kills an innocent human being and should not be performed.
AB02_2,We should not allow abortion because we must not kill an innocent human being.
AB02_2,We should not accept abortion because we must not kill an innocent human being.
AB02_3,"As used in the Fourteenth Amendment of the US Constitution, abortion only violates the unborn and not a human being hence not badly off."
AB02_3,"Abortion does not violate this precept that we must not kill an innocent human being,  because the word 'person,' as used in the Fourteenth Amendment of the US Constitutions, does not include the unborn.  Therefore, abortion is a good and useful standard."
AB02_3,Abortion is ok. according to the US Constitution because it does not include an unborn child.
AB02_3,"Abortion should be allowed because the fourteenth amendment makes clear that unborn babies are not people, so no people are harmed in an abortion."
AB02_3,Fetuses are not people according to the Constitution which means abortions should be legal.
AB02_3,"The unborn are not people yet, so abortion is okay, because we are not killing a human being."
AB02_3,"Abortion is acceptable because, although killing innocent beings is wrong, the unborn do not count as ""people""."
AB02_3,"We all know we must not kill an innocent human being. However, because the word 'person', as defined by the Fourteenth Amendment of the US Constitution, does not include the unborn, abortion is not killing an innocent human being. Therefore abortion is acceptable."
AB02_3,"Abortion is okay because it doesn't kill a person, since the unborn aren't considered people based on the Fourteenth Amendment."
AB02_3,Abortion is fine because unborn persons are not people according to the Fourteenth Amendment
