fragment_id,response
GC01_1,"More gun control laws should not be passed because they violate the Second Amendment indicates that ""the right of the people to keep and bear arms, shall not be infringed."""
GC01_1,"The people's right ""to keep and bear arms"" in the US constitution would be hindered by more gun control laws, so they would not retain their security and freedom."
GC01_1,"More gun control laws are intolerable are they violate the law stated in the Second Amendment of the US Constitution ,"" A well regulated militia, being required to the security of a free state, the right of people to keep and bear arms, shall not be infringed.''"
GC01_1,"U.S. citizens should observe the constitution, which states, ""A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed."" More gun control laws violate this principal. More gun control laws are bad."
GC01_1,"The Second Amendment of the US is defending gun laws, as a people we should follow as such, it is regulated enough and no further laws are needed. For the state to attempt to create mre gun laws is unacceptable and should be thwarted in court."
GC01_1,"Gun control laws violate the Second Amendment of the U.S. Constitution which states, ""A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed,"" and cannot be permitted."
GC01_1,"The Second Amendment of the US Constitution states, “A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed.” Our forefathers built this country and set rules in place to ensure the people were protected against government takeover; we the people must follow them. Those that suggest the US needs more gun control laws do not understand the consequences and are suggesting we violate the rules set forth."
GC01_1,We don't need more gun control laws because the constitution says we need the right to a well regulated militia.
GC01_1,"The Secong Amenment of the US Constitution states, ""A well regulated militai, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed."" More gun control laws violate the above, so more gun cuntrol laws are not acceptable."
GC01_1,We don't need more gun control laws because they would violated the Second Amendment of the Constitution.
GC01_1,"MORE GUN CONTROL LAWS VIOLATE THE SECOND AMENDMENT OF THE US CONSTITUTION STATES, ""A WELL REGULATED MILITIA,BEING NECESSARY TO THE SECURITY OF A FREE STATE,THE RIGHT OF PEOPLE TO KEEP AND BEAR ARMS,SHALL NOT BE INFRINGED""THEREFORE MORE GUN CONTROL LAWS ARE NOT ACCEPTABLE."
GC01_1,"Additional gun control laws are unacceptable, because the Second Amendment of the US Constitution states that, ""A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed."" We should thereby obey the constitution, as more gun control laws violate it."
GC01_1,"With a rise in federal regulations, mass shooting, and gun ownership, the main focus on gun laws are irrelevent."
GC01_1,"the constitution states the right of people to bear arms, gun controls laws violate this, so they are not acceptable"
GC01_1,"We should not have more gun control laws, because they violate the Second Amendment of the US Constitution, which states, ""A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed.”"
GC01_1,"More gun control laws are not okay because they violate the second amendment of the constitution which says “A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed.”"
GC01_1,As the Second Amendement of the United States protects gun rights and more gun laws would defy the Constitution more gun laws are not the right way to go.
GC01_1,We should not accept more gun control because it violates the Second Amendment of the US Constititution.
GC01_2,"More gun control laws should not be implemented because the Second Amendment of the US Constitution, which states “A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed”, protects individual gun ownership."
GC01_2,"More gun control laws are intolerable as it violates the law of right of individual gun ownership is protected as stated in the Second Amendment of the US Constitution '' A well regulated militia, being required to the security of a free state, the right of the people to keep and bear arms shall not be infringed."""
GC01_2,"The rights of the individual to gun ownership is protected by the Second Amendment of the US Constitution, which states that ""A well regulated militia, being necessary to the security of a free state, the right of the people to keep and bear arms, shall not be infringed.""  Clearly, more gun control laws violate this precept of the US Constitution, which is a dictate we are required to adhere to as citizens.  Therefore more gun control laws must not be the law of the land."
GC01_2,We don't need more gun control laws because prohibiting gun ownership violates the second amendment.
GC01_2,We should not make more gun control laws because they violate the Second Amendment of the US Constitution states which claims that the right of individual gun ownership is protected.
GC01_2,"The right of individual gun ownership is protected under the Second Amendment of the US Constitution. However, more gun control laws violate this amendment. Therefore, we should not impose more gun control laws."
GC01_2,"The Second Amendment protects the right of individual gun ownership, more gun control laws violate the constutition."
GC01_2,Gun control laws should not be used because it does not abide by the second amendment.
GC01_2,"Gun control laws violate the Second Amendment that states the right of individual gun ownership is protected, so more gun laws is not acceptable."
GC01_2,"We should not have more gun control laws, because according to the Second Amendment, the right of individual gun ownership is protected."
GC01_2,"Additional gun control laws should not be enacted because they would violate the 2nd amendment to the U.S. Constitution, which protects the right of individual gun ownership."
GC01_2,We don't need more gun control laws because the right of individual gun ownership is protected by the Second Amendment of the US Constitution.
