fragment_id,response_no,response
MW01_1,1,We should increase the minimum wage because this would stimulate the economy and have the desirable effect of leading to job growth.
MW01_1,2,We should increase the minimum wage because it will stimulate the economy and promote job growth.
MW01_1,3,We should increase minimum wage to increase job growth
MW01_1,4,There's need to increase the minimum wage as it stimulates the economy facilitating job growth which is  wise.
MW01_1,5,"Increasing the minimum wage stimulates the economy, which in turn leads to the plus of job growth. We should, therefore, increase the minimum wage."
MW01_1,6,The minimum wage must be increased to stimulate the economy and create positive job growth.
MW01_1,7,The minimum wage should be increased to stimulate the economy and job growth.
MW01_1,8,Increasing the minimum wage increases job growth and stimulates the economy.
MW01_1,9,We should increase the minimum wage because it stimulates the economy.
MW01_1,10,We should increase the minimum wage to help stimulate the economy.
MW01_1,11,Minimum wage should be increased to stimulate the economy and increase job growth.
MW01_1,12,We should increase the minimum wage because it would stimulate the economy by stimulating job growth.
MW01_1,13,Increasing the min wage stimulates the economy so it should be increased
MW01_1,14,"We should increase the minimum wage, because it stimulates the economy, leading to job growth."
MW01_1,15,We should increase the minimum wage in order to stimulate the economy and create job growth.
MW01_1,16,The minimum wage should be increase because the increase will stimulate the economy and boost job growth
MW01_1,17,"It has been shown that increasing the minimum wage stimulates the economy, stimulating the economy leads to job growth, as such we should increase the minimum wage."
MW01_2,1,We should not increase the minimum wage because increasing the minimum was has the undesirable effect of raising the unemployment rate.
MW01_2,2,There will be an increase in the unemployment rate if we increase the minumum wage.
MW01_2,3,We should not increase the minimum wage because it raises the unemployment rate.
MW01_2,4,We should not increase the minimum wage because it will result in an increase in unemployment.
MW01_2,5,It is essential to decrease the minimum wage as it facilitates growth of unemployment rate which is unacceptable.
MW01_2,6,"Increasing the minimum wage would raise the unemployment rate, therefore we should not increase minimum wage."
MW01_2,7,"Raising the unemployment rate can not be deemed an economic imperative, as it raises the unemployment rate. Therevore, we should not increase the minimum wage."
MW01_2,8,Minimum wage raise will disrupt unemployment rate
MW01_2,9,The minimum wage should not be increased because doing so will raise the unemployment rate.
MW01_2,10,"Increasing the minimum wage would also raise the unemployment rate, making it a bad idea to raise the minimum wage."
MW01_2,11,The minimum wage should not be increased because the unemployment rate will increase.
MW01_2,12,We should not increase the minimum wage because it raises the unemployment rate.
MW01_2,13,Minimum wage should not be increased because it raises the unemployment rate.
MW01_2,14,Increasing the minimum wage would raise unemployment rates.
MW01_2,15,Increasing min wage raises the unemployment rate so we should not do it
MW01_2,16,"If we increase the minimum wage, it will raise the unemployment rate. We can't do that"
MW01_2,17,"We should not increase the minimum wage, because doing so would raise the unemployment rate."
MW01_2,18,We should not increase minimum wage because it increases the unemployment rate
MW01_2,19,Because increasing the minimum wage will raise the unployment rate the minimum wage shouldn't be raised.
MW01_2,20,We should not increase the minimum wage because that raises the unemployment rate which is undesirable.
MW01_3,1,We should not increase the minimum wage because increasing the minimum wage has the undesirable effect of raising unemployment as companies may use more robots and automated processes to replace service employees.
MW01_3,2,Raising the minimum wage raises the unemployment rate because companies may outsource more jobs to robots therefor; we should not raise it.
MW01_3,3,Increasing the minimum wage should be avoided because it creates more opportunities for jobs to be lost to automation.
MW01_3,4,"Raising the minimum wage is disagreeable as it facilitates increase in unemployment rate, this is as a result companies may opt for more robots to replace service employees."
MW01_3,5,We should not increase the minimum wage because increasing the minimum wage raises the unemployment rate because companies may use more robots and automated processes to replace service employees.
MW01_3,6,"Increasing the minimum wage has the detrimental effect of raising the unemployment rate, as companies have the option to use robots and automated processes to replace service personnel. We should therefore not increase the minimum wage."
MW01_3,7,The minimum wage should not be increased because companies will turn to using robots and automation instead of hiring employees.
MW01_3,8,Increasing the minimum wage raises unemployment rates as companies move to robots and automated processes.
MW01_3,9,We shouldn't increase the minimum wage because that would increase the unemployment rate.
MW01_3,10,"Technological advancements would make humans obsolete in certain jobs if the minimum wage is too high, it would save employers money to use automated processes instead of hiring humans,"
MW01_3,11,We should not increase the minimum wage because is it undesirable to raise the unemployment rate.
MW01_3,12,We should not raise the minimum wage because it will raise the unemployment rate as companies start to use more robots and automated processes to replace service employees.
MW01_3,13,"To avoid companies using more robots and automated processes to replace service employees, we should not increase the minimum wage"
MW01_3,14,"We should not increase the minimum wage, because doing so might cause companies to use more robots and automated processes to replace service employees, thus raising the unemployment rate."
MW01_3,15,We should not increase the minimum wage because it raises the unemployment rate with companies opting to use more robots and automated processes to replace people.
MW01_3,16,If we increase the minimum wage the unemployment rate would rise because companies might use more robots instead of human service employees. We should not increase the minimum wage to protect the worker.
MW01_3,17,We should not increase the minimum wage because companies may use more robots and automated processes to replace service employees.
MW01_3,18,We should not raise the minimum wage because companies may use more robots and automated processes to replace service employees.
MW01_4,1,Increasing the minimum wage has the negative effect of raising the unemployment rate because companies may outsource jobs to countries where costs would be lower. We should therefore not increase the minimum wage.
MW01_4,2,An increase in minimum wage could cause companies to outsource their work to keep costs low.
MW01_4,3,We should not increase the minimum wage because it could increase the unemployment rate if companies outsource their jobs to other countries.
MW01_4,4,The minimum wage should not be increased because it will result in the outsourcing of jobs to countries with lower costs.
MW01_4,5,Minimum wage increase could result to unemployment and companies outsourcing
MW01_4,6,Increasing the minimum wage may in the long-run turn out to be counterproductive as companies will choose to outsource labor to countries where costs of production are lower
MW01_4,7,"Raising  the minimum wage is not a feasible economic choice, because it puts companies in the position of seriously considering the outsourcing of jobs to countries with lower costs.  We should, therefore not increase the minimum wage."
MW01_4,8,"Increasing it would raise the earnings and family income of most low-wage workers, lifting some families out of poverty—but it would cause other low-wage workers to become jobless, and their family income would fall"
MW01_4,9,"The minimum wage should not be increased because if it is, companies may have to outsource jobs to other countries."
MW01_4,10,Increasing the minimum wage leads to higher unemployment rates as companies outsource jobs for a lower cost.
MW01_4,11,The minimum wage should not be increased because companies may outsource jobs.
MW01_4,12,The minimum rate should not be increased because companies will outsource jobs to other countries.
MW01_4,13,"To decrease the rate of unemployment, we should refrain from increasing the minimum wage so companies stop outsourcing jobs to other countries."
MW01_4,14,Increasing the min wage increases unemployment so we should not increase the min wage
MW01_4,15,We should not increase the unemployment rate caused by companies outsourcing jobs to cheaper countries because of an increased minimum wage.
MW01_4,16,Increasing the minimum wage forces employers to rasie prices to accomodate the fiscal difference.
MW01_4,17,"We should not increase the minimum wage, because that would raise the unemployment rate since companies may outsource jobs to countries where costs would be lower."
MW01_4,18,We should not increase the minimum wage because it raises the unemployment rate because companies may outsource jobs to countries where costs would be lower.
MW01_4,19,We should not raise the minimum wage because it inreases unemployment when companies outsource jobs to countries where costs would be lower.
MW01_4,20,Increasing the minimum wage could result in losing workers to foreign companies
MW02_1,1,We should not increase the minimum wage because increasing the minimum wage raises the unemployment rate which has the undesirable effect of increasing poverty.
MW02_1,2,Unemployment will increase if we increase minimum wage which will cause more poor people which is not good. So we shouldn't increase the minimum wage.
MW02_1,3,"The minimum wage should not be increased because increases in wages will also increase unemployment rates, thereby increasing poverty."
MW02_1,4,Increasing the minimum wage would increase poverty.
MW02_1,5,Increasing the minimum wage is intolerable as it raises the unemployment rate that results to increase in poverty.
MW02_1,6,"When the minimum wage is raised, it ups the unemployment rate, which in turn has the negative consequence of increasing the poverty rate.  We should therefore avoid increasing the minimum wage."
MW02_1,7,The unemployment rate increased the minimum wage. The increasing poverty raises unemployment rates. The increasing poverty is not a desirable place to be at. No one should increase the minimum wage people will be in debt.
MW02_1,8,Minimum wage shouldn't increase because it would raise the unemployment rate.
MW02_1,9,The minimum wage doesn't need to be increased because that would make the unemployment rate higher with a higher poverty level.
