fragment_id,response
SU01_1,Implementation of school uniforms will deter crime.
SU01_1,School uniforms have the desirable effect of deterring crime because an intruder can easily be recognized and are therefore necessary.
SU01_1,School uniforms will decrease crime because students will be more easily identified.
SU01_1,School uniform policies should be implemented because they deter crime by making intruders easily recognizable.
SU01_1,School uniforms deter crime and are needed.
SU01_1,School uniforms are required to deter crime because an intruder can easily be recognized which is wise.
SU01_1,"School uniforms act positively as a deterrent to crime, because intruders can be easily recognized. For this reason, school uniforms are a must."
SU01_1,School uniforms are desirable because they deter crime by recognizing individuals
SU01_1,"Because school uniforms can help deter crime, we should implement them."
SU01_1,We should use school uniforms because they help deter crime.
SU01_1,"School uniforms help in deterring crime, making them necessary."
SU01_1,School uniforms deter crime so it is necessary
SU01_1,"there should be school uniforms, because they deter crime  because an intruder can easily be recognized."
SU01_1,"We need school uniforms, because they deter crime since an intruder could easily be recognized."
SU01_1,"We should have school uniforms because they make intruders easy to identify, which can deter crime."
SU01_1,"In an effort to deter crime, school uniforms help identify non-students and thus lower the crime rate."
SU01_1,We should adopt school uniforms because they can deter crime by making an intruder easily be recognizable .
SU01_1,We should accept school uniforms because deter crime when an intruder can easily be recognized.
SU01_1,"School uniforms are necessary because an intruder who is not wearing a uniform can be easily recognized, which deters crime."
SU01_2,There are many new school security measure that can help deter crime better than school uniforms.
SU01_2,The argument that school uniforms deter crime is not valid because other security measures could be introduced concurrently therefor; school uniforms are unecessary.
SU01_2,"Though some argue school uniforms deter crime, these assertions are dubious because uniforms are often introduced with other school security measures.  We should not have school uniforms."
SU01_2,School uniforms aren't necessary since other things such as school security might be more important factors in deterring crime.
SU01_2,School uniforms are unjustified as some claim that they deter crime which is questionable as there may be other factors like introduction of new school security measures made at the same time.
SU01_2,"While theorists may propose that school uniforms deter crime, the premise remains questionable because other measures, like the introduction of concurrently created security measures could be just as much or more of a crime deterrent than school uniforms.  The conclusion is that school uniforms are not needed, in particular not for the prevention of crime. ."
SU01_2,"School uniforms aren't helpful because while some say they deter crime, that assertion isn't provable or without variables."
SU01_2,School uniforms should not be worn because there is no evidecnce they deter crime.
SU01_2,School uniforms are not necessary for school safety because other measures can be taken instead.
SU01_2,there may be other factors like the introduction of new school security measures that distort any evidence that school uniforms deter crime
SU01_2,"We don't need school uniforms, because there are other factors to deter crime."
SU01_2,"It is questionable that school uniforms deter crime since there may be other factors like the introduction of the new school security measures made at the same time. Therefore, school uniforms are unnecessary."
SU01_2,We don't need school uniforms because other factors like new school security measures can also deter crime
SU01_2,"While some argue that school uniforms prevent crime this is not strictly true because of other factors like school security being implimented at the same time. Ergo, school uniforms are not needed."
SU01_2,School uniforms are unnecessary because it is questionable whether or not they deter crime.
SU02_1,School uniforms are needed because they help students focus on learning.
SU02_1,School uniforms are needed because they help students focus on learning.
SU02_1,School uniforms are advantageous to help students focus on learning which is a prudent act.
SU02_1,"Having school uniforms in place aids students in the essential task of focusing on learning.  Therefore, school uniforms are a must."
SU02_1,School uniforms are good because they help students focus on learning.
SU02_1,"School uniforms keep the focus on learning, making them necessary."
SU02_1,"We should require school uniforms, because they help students focus on learning."
SU02_1,"School uniforms are a proven strategy for removing distractions from the school experience and helping challenge toxic student cultures, and should be a required for all schools, including public schools."
SU02_1,"In order for students to focus on learning, school uniforms are necessary."
SU02_1,School uniforms should be used because they help students focus on learning.
SU02_1,School uniforms are necessary because they help students focus on learning.
SU02_1,"We need school uniforms, because they hep you focus on learning."
SU02_1,"We should have school uniforms, because they help students focus on learning."
SU02_1,We should have school uniforms because it helps students focus on learning
SU02_1,School uniforms have shown to help students focus on learning and as such they get a better education.
SU02_1,We need school uniforms because they help students focus on learning.
SU02_1,School uniforms are necessary because they help students focus on learning rather than appearance
SU02_2,School uniforms are necessary because they have the desirable effect of helping students focus on learning as students are less concerned about how they look and how they fit in with their peers.
SU02_2,School uniforms are essential because they help students focus on learning instead of being concerned about how they look and fit in with their peers.
SU02_2,School uniforms are require to help students focus on learning as they are less concerned about how they look and how they fit in with their peers which is prudent.
SU02_2,The usefulness of school uniforms is most evident in how they help students to focus on learning and pay less attention to how they look and how they fit in with their peers
SU02_2,"School uniforms have the positive effect of allowing students to focus on learning, as they are less concerned with how they look and with how they fit in with their peers.  It can be therefore concluded that school uniforms constitute a must-have."
SU02_2,School uniforma help draw less attention on a how a student looks and more attention on focusing in school which deems them necessary
SU02_2,School uniforms are a great idea because they help students focus more on learning and less on appearances.
SU02_2,We should use school uniforms because with them students will focus on learning instead of how they look.
SU02_2,School uniforms are necessary because they help students focus on learning because they are less concerned about what they look like.
SU02_2,School uniforms help keep students more focused on learning than their appearance amongst their peers
SU02_2,"School uniforms are needed, because they help students focus on learning."
SU02_2,"We need school uniforms, because they help students focus on learning since they are less concerned about how they look and how they fit in with their peers."
SU02_2,We should have school uniforms because they help students focus on learning because students are less concerned about how they look and how they fit in with their peers
SU02_2,School uniforms are a good option for an education system because they allow students to focus on their work
SU02_2,We need school uniforms because they help students focus on learning.
SU02_2,School uniforms cause less distraction
SU02_2,School uniforms are necessary because students who are not concerned with how they look and fitting in can focus on learning
SU02_3,All schools should require uniforms because school uniforms improve attendance and discipline.
SU02_3,School uniforms are needed because they have the positive outcome of improving attendance and discipline.
SU02_3,School uniforms are an important addition to school policy because they improve attendance and discipline.
SU02_3,School uniforms are obligatory to improve attendance and discipline which is prudent.
SU02_3,School uniforms are useful to the extent that they ensure attendance and discipline
SU02_3,"Data shows that school uniforms act advantageously to improve records in both attendance and discipline. Therefore, school uniforms are a must."
SU02_3,School uniforms are necessary because they emphasize discipline and improve attendance.
SU02_3,School uniforms improve attendance and reduce discipline issues.
SU02_3,"School uniforms are necessary as they are shown to improve attendance and discipline, which is important in the school system."
SU02_3,One should enforce school uniforms to shape basic ethics in it's pupils.
SU02_3,School uniforms improve attendance and discipline making them necessary.
SU02_3,School uniforms are necessary because they improve attendance and discipline.
SU02_3,"We need school uniforms , because they improve attendance and discipline."
SU02_3,We should have school uniforms because they improve attendance and discipline.
SU02_3,We need school uniforms because they improve attendance and discipline
SU02_3,School uniforms are a good thing because they improve attendence and discipline.
SU02_3,School uniforms are necessary because they imporove attendance and discipline.
SU02_4,"Though some argue that school uniforms help increase students' focus on learning, this is not true.  A peer-reviewed study found that uniforms have no significant effects on academic performance.  Therefore, school uniforms are not necessary."
SU02_4,School uniforms do not significantly impact performance on second-grade reading and mathematics examinations.
SU02_4,"School uniforms are inessential as some claim that they help students focus on learning, this is inaccurate as peer-reviewed study found no significant effects on school uniforms on performance on second-grade reading and mathematics examininations."
SU02_4,"Contrary to popular assumptions that school uniforms help students to focus on learning, a peer-reviewed study discovered that there is no significant effect in second-grade reading and mathematics examinations attributable to school uniforms."
SU02_4,"While some argue that school uniforms help students focus on learning, a peer-reviewed study found no significant effects of school uniforms on performance on second-grade reading and mathematics examinations. It's obvious, therefore, that school uniforms are not necessary."
SU02_4,Studies have shown that school uniforms don't actually help students learn and so they aren't an effective measure.
SU02_4,We should not use school uniforms because there is no evidence they help students focus on learning.
SU02_4,"We should not require school uniforms, because they have no significant effect on the performance of second-grade students in reading and math."
SU02_4,School uniforms are unnecessary because they have no effect on school performance.
SU02_4,"School uniforms are not necessary as proved by a peer-reviewed study, finding no significant effects of school uniforms on performance."
SU02_4,School uniforms have been proven to make no significant effects on performance on second-grade reading and mathematics examinations
SU02_4,"We do not need school uniforms, because there are no significant effects of school uniforms on performance."
SU02_4,"We do not need school uniforms, because they do not help students focus on learning, as we learn from a peer-reviewed study which found no significant effects of school uniforms on performance on second-grade reading and mathematics examinations."
SU02_4,We don't need school uniforms because studies found no significant effects of school uniforms on performance on second-grade reading and mathematics examinations.
SU02_4,"While some argue school uniforms improve on students' ability to focus on learning, this is untrue because a peer reviewed study found no corrilation between the effects on school performance and second grade reading and maths exams."
SU02_4,School uniforms are not necessary because they do not effect performance on reading and math
SU02_4,We should not have school uniforms because they do have no significant effects on performance on second-grade reading and mathematics examinations.
SU02_4,School uniforms don’t benefit curricular or academic advancement
SU02_5,We should not focus on school uniforms because this focus takes attention away from finding genuine solutions to problems in education which is not desirable.
SU02_5,We should not focus on school uniforms because they take focus away from finding genuine solutions to problems in education.
SU02_5,"The focus on school uniforms is a red herring, for it takes attention away from finding genuine solutions to problems in education."
SU02_5,Focusing on school uniforms can prevent us from finding genuine solutions to problems in education.
SU02_5,It is displeasing to focus on school uniforms that takes attention away from finding genuine solutions to problems in education.
SU02_5,We should not focus on school uniforms because focusing on school uniforms takes attention away from finding genuine solutions to problems in education.
SU02_5,"Putting the bulk of attention on school uniforms takes the focus away from finding genuine solutions to problems in education, which makes it ultimately a detrimental thing to do. Ultimately, we should not place the focus on school uniforms."
SU02_5,"School uniforms don't improve students education. Therefore, focus should not be spent on them."
SU02_5,We should turn our focus away from debating school uniforms and toward solving other programs in education.
SU02_5,We should not use school uniforms because they take attention away from finding solutions to other educational problems.
SU02_5,Focusing on school uniforms distract from the real problems at hand in education and we should be focusing on real solutions to real problems.
SU02_5,We shouldn't focus on school uniforms because it would take away from other problems in education.
SU02_5,We should not focus on school uniforms because it takes attention away from finding genuine solutions to problems in education.
SU02_5,"We should not focus on school uniforms because when we do, we lose focus of genuine solutions to problems in education."
SU02_5,School uniforms takes away attention from real issues so we should not focus on it
SU02_5,School uniforms should not be the main focus that distracts from finding genuine solutions to problems in education
SU02_5,We should not focus on school uniforms since doing so takes away from finding genuine solutions to problems in education.
SU02_5,We should not focus on school uniforms because it just takes attention away from finding genuine solutions to problems in education.
SU02_5,We should not focus on school uniforms because it takes attention away from finding genuine solutions to problems in education.
SU02_5,We should not focus on school uniforms because they take attention away from finding genuine solutions to problems in education.
SU03_1,School uniforms are needed as they create a level playing field among students.
SU03_1,School uniform policies should be introduced because such policies create a level playing field among students.
SU03_1,School uniforms are required to generate a level of playing field among students which is advisable.
SU03_1,School uniforms have the highly beneficial effect of leveling the playing field among students. We can be certain then that school uniforms are a necessity.
SU03_1,School uniforms are necessary to create a level playing field among students.
SU03_1,Having school uniforms makes it easier for everyone to look the same and be able to concentrate more on their education.
SU03_1,School uniforms are effective because they level the playing field amongst students.
SU03_1,Students should wear school uniforms because they would create a level playing field among the students.
SU03_1,School uniforms create a level playing field among students.
SU03_1,School uniforms are necessary to create a level playing field among students
SU03_1,"We need school uniforms, because they create a level playing field among students."
SU03_1,"We need school uniforms, because they create a level playing field among students."
