fragment_id,response_no,response
DP01_1,1,The death penalty is impermissible because we should not violate the sanctity of life which is what the death penalty does.
DP01_1,2,"The sanctity of life could not be violated ever. The death penalty does violate it, so we should get rid of the death penalty."
DP01_1,3,The death penalty should be abolished because it violates the sanctity of life.
DP01_1,4,The death penalty violates the sanctity of life.
DP01_1,5,The death penalty is inadmissible as it violates the sanctity of life.
DP01_1,6,"The concept of the death penalty does not adhere to the precept that we should not violate the sanctity of life. Therefore, the death penalty as a rule is not tolerable."
DP01_1,7,"People should adhere to principle of the sanctity of life. The death penalty should be prohibited, because it does not concur with this principle."
DP01_1,8,The death penalty violates the sanctity of life and should be banned.
DP01_1,9,The death penalty is not acceptable because by putting someone to death we violate the sanctity of life.
DP01_1,10,"We should not violate the sanctity of life. However, the death penalty does so. Therefore, we should not allow the death penalty."
DP01_1,11,"The death penalty doesn't work, because it violates the sanctity life"
DP01_1,12,We don't need the death penalty because it violates the sanctity of life
DP01_1,13,"Since the death penalty takes life, and life in and of itself is sacred, the death penalty is wrong."
DP01_1,14,We should not accept the death penalty because it violates the sanctity of life.
DP01_2,1,The death penalty is tolerable because those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_2,2,We should keep the death penalty as people who commit serious crimes deserve to suffer a horrible punishment.
DP01_2,3,The death penalty is important because those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_2,4,The death penalty is admissible for those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_2,5,"The death penalty adheres to the precept that those who commit a serious crime morally deserve to suffer a proportionate punishment. Therefore, the death penalty as a punishment is tolerable to our society."
DP01_2,6,The death penalty is a fair and reasonable punishment for those who commit serious crimes.
DP01_2,7,The death penalty is permissible for those who commit substantial crimes and desrve severe punishment.
DP01_2,8,The death penalty is a solution for those who commits serious crimes
DP01_2,9,"The death penalty won't do, because serious crimes deserve appropriate punishment."
DP01_2,10,"We should use the death penalty, because those who commit serious crimes morally deserve to suffer a proportionate punishment."
DP01_2,11,We should have a death penalty because those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_2,12,"Serious crimes deserve a serious punishment, for the worst crimes the death penalty is allowable."
DP01_2,13,The death penalty is acceptable  to those who commit serious crimes.
DP01_2,14,We should accept the death penalty because those who commit serious crimes morally deserve to suffer a proportionate punishment.
DP01_3,1,The idea that those who commit serious crimes morally deserve to suffer a proportionate punishment is not tolerable because the idea that these people deserve to suffer a proportionate punishment is barbaric.
DP01_3,2,It is barbaric to believe that people who commit serious crimes deserve to suffer proportionate punishment. It is immoral.
DP01_3,3,The idea that those who commit serious crimes morally deserve to suffer a proportionate punishment is barbaric.
DP01_3,4,Punishment being proportionate to the crime is barbaric.
DP01_3,5,Some claim that those who commit serious crimes morally deserve to suffer a proportionate punishment which is barbaric as the idea is inadmissible.
DP01_3,6,"Although theorists propose that those that commit serious crimes morally deserve to suffer a proportionate punishment, the concept is barbaric.  Therefore, the proposition that those who commit serious crimes morally deserve to suffer a proportionate punishment is not at all tolerable."
DP01_3,7,The idea that those who commit serious crimes morally deserve to suffer a proportionate punishment is barbaric and unacceptable.
